,settlement_period,price,charge_MW,discharge_MW,soe_MWh,revenue,cycle,mwh_capacity
237,46,39.26490690791493,0.0,0.0,0.0,0.0,1,8.0
238,47,35.586438334208616,0.0,0.0,0.0,0.0,1,8.0
239,48,33.3381252567242,0.0,0.0,0.0,0.0,1,8.0
240,1,76.48193171996765,0.0,0.0,0.0,0.0,2,0.5
241,2,77.36440568923669,0.0,0.0,0.0,0.0,2,0.5
242,3,75.60947094779715,0.0,0.0,0.0,0.0,2,0.5
243,4,73.71148673248487,0.0,0.0,0.0,0.0,2,0.5
244,5,71.61622523961535,0.0,0.0,0.0,0.0,2,0.5
245,6,71.61622523961535,0.0,0.0,0.0,0.0,2,0.5
246,7,68.62499546446934,0.0,0.0,0.0,0.0,2,0.5
247,8,67.27911179777008,0.0,0.0,0.0,0.0,2,0.5
248,9,65.29754754157437,1.0,0.0,0.5,-32.64877377078719,2,0.5
249,10,65.72769816981105,0.0,0.0,0.5,0.0,2,0.5
250,11,65.58761318763906,0.0,0.0,0.5,0.0,2,0.5
251,12,67.38360292409112,0.0,0.0,0.5,0.0,2,0.5
252,13,72.08157948395775,0.0,0.0,0.5,0.0,2,0.5
253,14,76.36091305352869,0.0,0.0,0.5,0.0,2,0.5
254,15,79.29366895048989,0.0,1.0,0.0,39.646834475244944,2,0.5
255,16,78.97659915751132,0.0,0.0,0.0,0.0,2,0.5
256,17,77.34719966410722,0.0,0.0,0.0,0.0,2,0.5
257,18,73.87717011157949,0.0,0.0,0.0,0.0,2,0.5
258,19,71.68583647143747,0.0,0.0,0.0,0.0,2,0.5
259,20,68.63930573330768,0.0,0.0,0.0,0.0,2,0.5
260,21,64.54324293862092,0.0,0.0,0.0,0.0,2,0.5
261,22,62.18628356843754,0.0,0.0,0.0,0.0,2,0.5
262,23,58.97797628320774,0.0,0.0,0.0,0.0,2,0.5
263,24,57.54340176532567,0.0,0.0,0.0,0.0,2,0.5
264,25,56.300885068408704,0.0,0.0,0.0,0.0,2,0.5
265,26,56.30310233968827,0.0,0.0,0.0,0.0,2,0.5
266,27,54.8174640642377,1.0,0.0,0.5,-27.40873203211885,2,0.5
267,28,55.591291740807776,0.0,0.0,0.5,0.0,2,0.5
268,29,55.41507854040647,0.0,0.0,0.5,0.0,2,0.5
269,30,58.213274895224366,0.0,0.0,0.5,0.0,2,0.5
270,31,58.43239007761407,0.0,0.0,0.5,0.0,2,0.5
271,32,63.203957871249656,0.0,0.0,0.5,0.0,2,0.5
272,33,65.23627546703472,0.0,0.0,0.5,0.0,2,0.5
273,34,70.22291857478864,0.0,0.0,0.5,0.0,2,0.5
274,35,70.84041310525005,0.0,0.0,0.5,0.0,2,0.5
275,36,73.98893832224007,0.0,1.0,0.0,36.99446916112004,2,0.5
276,37,73.15129536097268,0.0,0.0,0.0,0.0,2,0.5
277,38,72.17791326924126,0.0,0.0,0.0,0.0,2,0.5
278,39,68.93066183125707,0.0,0.0,0.0,0.0,2,0.5
279,40,66.11694457748219,0.0,0.0,0.0,0.0,2,0.5
280,41,60.748418619976576,0.0,0.0,0.0,0.0,2,0.5
281,42,57.03670649797567,0.0,0.0,0.0,0.0,2,0.5
282,43,52.45951135652108,0.0,0.0,0.0,0.0,2,0.5
283,44,47.896367063165115,0.0,0.0,0.0,0.0,2,0.5
284,45,42.84136548186204,0.0,0.0,0.0,0.0,2,0.5
285,46,39.26490690791493,0.0,0.0,0.0,0.0,2,0.5
286,47,35.586438334208616,0.0,0.0,0.0,0.0,2,0.5
287,48,33.3381252567242,0.0,0.0,0.0,0.0,2,0.5
288,1,76.48193171996765,0.0,0.0,0.0,0.0,2,1.0
289,2,77.36440568923669,0.0,0.0,0.0,0.0,2,1.0
290,3,75.60947094779715,0.0,0.0,0.0,0.0,2,1.0
291,4,73.71148673248487,0.0,0.0,0.0,0.0,2,1.0
292,5,71.61622523961535,0.0,0.0,0.0,0.0,2,1.0
293,6,71.61622523961535,0.0,0.0,0.0,0.0,2,1.0
294,7,68.62499546446934,0.0,0.0,0.0,0.0,2,1.0
295,8,67.27911179777008,0.0,0.0,0.0,0.0,2,1.0
296,9,65.29754754157437,1.0,0.0,0.5,-32.64877377078719,2,1.0
297,10,65.72769816981105,0.0,0.0,0.5,0.0,2,1.0
298,11,65.58761318763906,1.0,0.0,1.0,-32.79380659381953,2,1.0
299,12,67.38360292409112,0.0,0.0,1.0,0.0,2,1.0
300,13,72.08157948395775,0.0,0.0,1.0,0.0,2,1.0
301,14,76.36091305352869,0.0,0.0,1.0,0.0,2,1.0
302,15,79.29366895048989,0.0,1.0,0.5,39.646834475244944,2,1.0
303,16,78.97659915751132,0.0,1.0,0.0,39.48829957875566,2,1.0
304,17,77.34719966410722,0.0,0.0,0.0,0.0,2,1.0
305,18,73.87717011157949,0.0,0.0,0.0,0.0,2,1.0
306,19,71.68583647143747,0.0,0.0,0.0,0.0,2,1.0
307,20,68.63930573330768,0.0,0.0,0.0,0.0,2,1.0
308,21,64.54324293862092,0.0,0.0,0.0,0.0,2,1.0
309,22,62.18628356843754,0.0,0.0,0.0,0.0,2,1.0
310,23,58.97797628320774,0.0,0.0,0.0,0.0,2,1.0
311,24,57.54340176532567,0.0,0.0,0.0,0.0,2,1.0
312,25,56.300885068408704,0.0,0.0,0.0,0.0,2,1.0
313,26,56.30310233968827,0.0,0.0,0.0,0.0,2,1.0
314,27,54.8174640642377,1.0,0.0,0.5,-27.40873203211885,2,1.0
315,28,55.591291740807776,0.0,0.0,0.5,0.0,2,1.0
316,29,55.41507854040647,1.0,0.0,1.0,-27.707539270203235,2,1.0
317,30,58.213274895224366,0.0,0.0,1.0,0.0,2,1.0
318,31,58.43239007761407,0.0,0.0,1.0,0.0,2,1.0
319,32,63.203957871249656,0.0,0.0,1.0,0.0,2,1.0
320,33,65.23627546703472,0.0,0.0,1.0,0.0,2,1.0
321,34,70.22291857478864,0.0,0.0,1.0,0.0,2,1.0
322,35,70.84041310525005,0.0,0.0,1.0,0.0,2,1.0
323,36,73.98893832224007,0.0,1.0,0.5,36.99446916112004,2,1.0
